"","number_of_peptides_B_3","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_A_1"
"5089",1,1,1,1,2,1
"5090",4,2,4,3,3,3
"5091",3,3,3,3,3,2
"5092",4,4,4,5,3,4
"5093",1,2,2,2,1,1
"5094",3,2,2,1,1,1
"5095",1,2,2,2,2,2
"5096",1,2,2,4,3,4
"5097",7,5,7,5,5,5
"5098",1,2,2,2,1,1
"5099",3,3,3,3,3,3
"5100",15,15,16,15,14,14
"5101",14,15,12,15,15,13
"5102",3,2,3,3,3,3
"5103",3,3,3,5,4,3
"5104",1,1,1,1,1,1
"5105",4,3,4,4,3,5
"5106",2,2,2,2,2,2
"5107",9,9,10,11,9,11
"5108",3,4,2,3,3,2
"5109",4,4,3,4,4,5
"5110",2,2,2,2,3,2
"5111",3,1,1,2,3,3
"5112",9,11,10,10,12,10
"5113",2,2,2,1,2,1
"5114",14,16,14,17,16,12
"5115",2,4,4,4,4,5
"5117",77,76,78,77,80,76
"5118",8,6,8,3,5,4
"5119",3,2,3,3,2,2
"5120",6,6,5,5,6,7
"5121",7,6,7,8,8,7
"5122",3,2,3,3,2,3
"5123",30,29,28,26,31,28
"5124",2,2,2,2,2,1
"5125",22,22,23,24,21,20
"5126",2,1,2,2,2,2
"5127",1,1,2,1,1,2
"5128",9,7,7,8,8,8
"5129",14,14,13,14,14,15
"5130",12,11,11,9,14,9
"5131",2,3,3,3,3,3
"5132",3,3,4,3,1,3
"5133",8,7,7,7,7,8
"5134",3,2,2,2,2,2
"5135",21,23,23,28,23,26
"5136",1,2,1,2,2,1
"5137",4,4,4,4,4,4
"5138",6,6,6,6,6,5
"5139",1,2,1,1,1,1
"5140",2,2,1,1,1,2
"5141",7,6,6,7,6,6
"5142",12,10,9,9,11,10
"5143",5,5,5,5,4,5
"5144",22,23,23,25,24,24
"5145",7,8,7,8,8,7
"5146",2,2,2,2,2,2
"5147",5,4,5,5,5,4
"5148",3,3,3,4,3,4
"5149",11,10,11,12,12,12
"5150",17,14,14,12,14,13
"5151",3,3,3,2,3,2
"5152",19,19,19,18,18,21
"5153",5,4,4,5,4,4
"5155",4,4,3,4,6,3
"5156",1,2,1,2,2,2
"5157",8,8,8,9,7,7
"5158",5,3,2,4,3,3
"5159",5,5,5,5,5,5
"5161",8,9,10,9,9,8
"5162",7,7,7,7,8,8
"5163",3,3,4,1,2,5
"5164",3,4,3,4,3,3
"5165",5,6,6,6,5,5
"5166",2,2,2,2,2,2
"5167",9,6,7,9,9,8
"5168",16,16,15,14,14,15
"5169",2,1,1,2,1,2
"5170",6,5,4,3,5,5
"5171",20,21,19,19,20,21
"5172",12,10,10,8,10,10
"5173",7,7,5,6,4,6
"5174",2,1,1,1,2,2
"5175",12,12,13,12,14,13
"5176",2,1,1,2,1,1
"5177",5,6,5,7,7,7
"5178",3,2,1,2,3,2
"5179",4,5,4,5,4,5
"5180",4,4,4,3,3,4
"5181",13,14,13,13,13,14
"5183",14,15,13,17,16,14
"5184",3,3,3,3,3,3
"5185",4,2,3,2,3,2
"5186",4,3,3,4,3,2
"5187",1,2,1,2,3,2
"5188",9,10,8,12,11,11
"5190",3,2,2,2,2,2
"5191",2,2,2,2,1,2
"5192",3,3,3,4,4,4
"5193",2,3,2,2,1,3
"5194",1,1,1,1,1,1
"5195",13,12,14,13,12,13
